trait_name,group_1,group_2,unit,source_count,fraction_of_2478,fraction_of_metatraits_covered_1638
cell width,Morphology,Cell size phenotype,µm,201,0.081114,0.122711
assimilation: gluconate,Metabolism,Assimilation,boolean,197,0.0795,0.120269
degradation: ornithine,Metabolism,Catabolic process,boolean,196,0.079096,0.119658
produces: nitrite,Metabolism,Produces metabolite,boolean,196,0.079096,0.119658
produces: dinitrogen,Metabolism,Produces metabolite,boolean,183,0.07385,0.111722
builds acid from: L-arabitol,Metabolism,Builds acid from,boolean,182,0.073446,0.111111
fermentation: L-arabinose,Metabolism,Fermentation,boolean,180,0.072639,0.10989
cell length,Morphology,Cell size phenotype,µm,179,0.072236,0.10928
cell color,Morphology,Cell morphology,factor,176,0.071025,0.107448
fermentation: melibiose,Metabolism,Fermentation,boolean,175,0.070621,0.106838
builds acid from: glycogen,Metabolism,Builds acid from,boolean,165,0.066586,0.100733
builds gas from: sodium thiosulfate,Metabolism,Builds gas from,boolean,165,0.066586,0.100733
fermentation: D-xylose,Metabolism,Fermentation,boolean,163,0.065779,0.099512
enzyme activity: beta-mannosidase (EC3.2.1.25),Enzymes,Enzyme activity,boolean,152,0.06134,0.092796
enzyme activity: glycyl tryptophan arylamidase,Enzymes,Enzyme activity,boolean,146,0.058918,0.089133
degradation: L-glutamate,Metabolism,Catabolic process,boolean,144,0.058111,0.087912
enzyme activity: cytochrome-c oxidase (EC1.9.3.1),Enzymes,Enzyme activity,boolean,143,0.057708,0.087302
degradation: glucose,Metabolism,Catabolic process,boolean,139,0.056094,0.08486
assimilation: malonate,Metabolism,Assimilation,boolean,134,0.054076,0.081807
fermentation: raffinose,Metabolism,Fermentation,boolean,132,0.053269,0.080586
pH preference,Environmental preferences,pH,factor,132,0.053269,0.080586
builds acid from: lactose,Metabolism,Builds acid from,boolean,131,0.052865,0.079976
builds acid from: erythritol,Metabolism,Builds acid from,boolean,128,0.051655,0.078144
enzyme activity: gamma-glutamyltransferase (EC2.3.2.2),Enzymes,Enzyme activity,boolean,116,0.046812,0.070818
fermentation: myo-inositol,Metabolism,Fermentation,boolean,116,0.046812,0.070818
builds acid from: maltose,Metabolism,Builds acid from,boolean,110,0.044391,0.067155
fermentation: maltose,Metabolism,Fermentation,boolean,108,0.043584,0.065934
fermentation: mannitol,Metabolism,Fermentation,boolean,103,0.041566,0.062882
assimilation: L-arabinose,Metabolism,Assimilation,boolean,100,0.040355,0.06105
builds acid from: D-xylose,Metabolism,Builds acid from,boolean,99,0.039952,0.06044
degradation: cellobiose,Metabolism,Catabolic process,boolean,98,0.039548,0.059829
degradation: D-arabinose,Metabolism,Catabolic process,boolean,97,0.039144,0.059219
fermentation: glycogen,Metabolism,Fermentation,boolean,96,0.038741,0.058608
utilizes: arabinose,Metabolism,Utilizes metabolite,boolean,96,0.038741,0.058608
enzyme activity: tryptophan deaminase,Enzymes,Enzyme activity,boolean,95,0.038337,0.057998
enzyme activity: lecithinase,Enzymes,Enzyme activity,boolean,92,0.037127,0.056166
enzyme activity: phenylalanine ammonia-lyase (EC4.3.1.24),Enzymes,Enzyme activity,boolean,87,0.035109,0.053114
utilizes: cellulose,Metabolism,Utilizes metabolite,boolean,86,0.034705,0.052503
flagellum arrangement,Morphology,Cell appendages,factor,85,0.034302,0.051893
carbon source: acetate,Metabolism,Carbon utilization,boolean,83,0.033495,0.050672
assimilation: malate,Metabolism,Assimilation,boolean,81,0.032688,0.049451
builds acid from: esculin,Metabolism,Builds acid from,boolean,77,0.031073,0.047009
fermentation: sucrose,Metabolism,Fermentation,boolean,76,0.03067,0.046398
carbon source: fructose,Metabolism,Carbon utilization,boolean,72,0.029056,0.043956
enzyme activity: L-arginine arylamidase,Enzymes,Enzyme activity,boolean,71,0.028652,0.043346
enzyme activity: caseinase (EC3.4.21.50),Enzymes,Enzyme activity,boolean,68,0.027441,0.041514
fermentation: arabinose,Metabolism,Fermentation,boolean,66,0.026634,0.040293
fermentation: cellobiose,Metabolism,Fermentation,boolean,64,0.025827,0.039072
fermentation: D-fructose,Metabolism,Fermentation,boolean,60,0.024213,0.03663
degradation: D-fructose,Metabolism,Catabolic process,boolean,57,0.023002,0.034799
enzyme activity: leucine arylamidase (EC3.4.11.1),Enzymes,Enzyme activity,boolean,57,0.023002,0.034799
utilizes: fructose,Metabolism,Utilizes metabolite,boolean,57,0.023002,0.034799
utilizes: glucose,Metabolism,Utilizes metabolite,boolean,56,0.022599,0.034188
enzyme activity: tween esterase,Enzymes,Enzyme activity,boolean,53,0.021388,0.032357
builds acid from: sucrose,Metabolism,Builds acid from,boolean,51,0.020581,0.031136
utilizes: mannitol,Metabolism,Utilizes metabolite,boolean,50,0.020178,0.030525
fermentation: sorbitol,Metabolism,Fermentation,boolean,48,0.01937,0.029304
utilizes: myo-inositol,Metabolism,Utilizes metabolite,boolean,48,0.01937,0.029304
growth: 2-dehydro-D-gluconate,Metabolism,Growth,boolean,45,0.01816,0.027473
builds acid from: glycerol,Metabolism,Builds acid from,boolean,44,0.017756,0.026862
